Designator,Mid X,Mid Y,Rotation,Layer
ADC1,118.2775,-219.3034,90.0,top
ADC2,118.2775,-177.1867,90.0,top
ADC3,118.2775,-92.9534,90.0,top
ADC4,118.2775,-135.0701,90.0,top
C1,244.955,-180.175,315.0,top
C11,255.0414,-157.9414,315.0,top
C15,256.5414,-156.4414,315.0,top
C16,254.8583,-150.684,45.0,top
C17,258.775,-183.925,225.0,top
C18,258.8505,-228.2875,90.0,top
C19,252.8505,-228.2875,270.0,top
C2,246.525,-178.675,314.0,top
C20,254.4172,-179.812,45.0,top
C21,272.775,-225.315,0.0,top
C22,256.3583,-152.184,45.0,top
C3,250.8158,-152.6415,135.0,top
C4,249.2376,-154.3133,135.0,top
C5,261.6277,-173.9534,45.0,top
C6,259.9559,-172.3915,45.0,top
C7,237.8449,-165.187,225.0,top
C8,239.2949,-166.687,225.0,top
D2,246.3225,-142.5117,90.0,top
D22,255.8005,-223.675,0.0,top
D23,283.275,-235.85,90.0,top
D29,146.0388,-88.7567,0.0,top
D3,255.3381,-142.6759,0.0,top
D30,165.6113,-88.7567,0.0,top
D31,150.9419,-88.7567,0.0,top
D32,160.7081,-88.7567,0.0,top
D33,155.845,-88.7567,0.0,top
D34,165.3556,-222.7167,180.0,top
D35,145.7831,-222.7167,180.0,top
D36,160.4525,-222.7167,180.0,top
D37,150.6862,-222.7167,180.0,top
D38,155.5494,-222.7167,180.0,top
D39,215.0138,-223.1767,180.0,top
D4,256.2756,-124.9259,270.0,top
D40,195.4013,-223.1767,180.0,top
D41,210.1107,-223.1767,180.0,top
D42,200.3044,-223.1767,180.0,top
D43,205.2075,-223.1767,180.0,top
D44,195.6782,-88.8264,0.0,top
D45,215.2507,-88.8264,0.0,top
D46,200.5813,-88.8264,0.0,top
D47,210.3476,-88.8264,0.0,top
D48,205.4844,-88.8264,0.0,top
D49,289.525,-235.7875,90.0,top
D5,246.2756,-124.9259,270.0,top
DAC1,297.2625,-155.3321,270.0,top
FB1,258.3941,-148.8371,45.0,top
IC1,249.025,-169.925,135.0,top
J1,286.775,-248.2425,0.0,top
J2,257.3885,-236.6125,270.0,top
R1,221.775,-172.956,270.0,top
R10,165.8155,-173.146,270.0,top
R11,139.0175,-172.956,270.0,top
R12,145.717,-172.956,90.0,top
R13,159.116,-173.146,270.0,top
R14,152.4165,-173.146,270.0,top
R17,189.1775,-137.2167,90.0,top
R18,195.8275,-137.2167,90.0,top
R19,215.7775,-137.2167,90.0,top
R2,215.225,-172.956,270.0,top
R20,222.4275,-137.2167,90.0,top
R21,202.4775,-137.2167,90.0,top
R22,209.1275,-137.2167,90.0,top
R25,166.2275,-137.4667,90.0,top
R26,172.9775,-137.4667,90.0,top
R27,152.7275,-137.4667,90.0,top
R28,159.4775,-137.4667,90.0,top
R29,139.2275,-137.4667,90.0,top
R3,195.475,-172.956,270.0,top
R30,145.9775,-137.4667,90.0,top
R4,188.925,-172.956,270.0,top
R5,208.875,-172.956,270.0,top
R53,191.7275,-197.2167,270.0,top
R54,189.7275,-197.2167,90.0,top
R55,140.0275,-197.2167,90.0,top
R56,141.9775,-197.2167,270.0,top
R57,189.9775,-107.2167,0.0,top
R58,189.9775,-109.1667,180.0,top
R59,143.7275,-103.9667,0.0,top
R6,202.325,-172.956,270.0,top
R60,143.7275,-101.9667,180.0,top
R68,146.0188,-85.5067,180.0,top
R69,165.5913,-85.5067,180.0,top
R70,150.9219,-85.5067,180.0,top
R71,160.6881,-85.5067,180.0,top
R72,155.825,-85.5067,180.0,top
R73,165.3756,-225.9667,0.0,top
R74,145.7631,-225.9667,0.0,top
R75,160.4725,-225.9667,0.0,top
R76,150.6662,-225.9667,0.0,top
R77,155.5694,-225.9667,0.0,top
R78,215.0763,-226.4267,0.0,top
R79,195.4888,-226.4267,0.0,top
R80,210.1794,-226.4267,0.0,top
R81,200.3857,-226.4267,0.0,top
R82,205.2825,-226.4267,0.0,top
R83,195.6582,-85.5764,180.0,top
R84,215.2307,-85.5764,180.0,top
R85,200.5613,-85.5764,180.0,top
R86,210.3276,-85.5764,180.0,top
R87,205.4644,-85.5764,180.0,top
R88,255.8005,-221.5625,180.0,top
R89,283.275,-239.5125,90.0,top
R9,172.515,-173.146,270.0,top
R90,289.525,-239.45,90.0,top
R91,257.525,-161.425,225.0,top
SW10,272.525,-231.064999,90.0,top
SW11,205.4775,-76.2167,270.0,top
SW7,155.7275,-76.2167,270.0,top
SW8,155.4775,-235.9667,90.0,top
SW9,205.2275,-235.9667,90.0,top
U1,237.145,-236.375,180.0,top
U10,205.0375,-206.8867,0.0,top
U11,155.7275,-206.8867,0.0,top
U12,205.7875,-104.2167,180.0,top
U13,156.0375,-104.2167,180.0,top
U2,180.5,-155.0883,90.0,top
U3,255.8005,-228.2875,270.0,top
U4,205.185,-189.551,270.0,top
U6,155.7275,-189.551,270.0,top
U7,205.7275,-120.1367,90.0,top
U8,156.2625,-120.3867,90.0,top
U9,251.275,-134.425,90.0,top
Y1,256.3987,-181.937,135.0,top
