Designator,Mid X,Mid Y,Rotation,Layer
ADC1,261.325,-219.425,270.0,top
ADC2,261.325,-187.861,270.0,top
ADC3,261.325,-156.297,270.0,top
ADC4,261.325,-124.733,270.0,top
ADC5,261.325,-93.169,270.0,top
C1,194.2749,-125.687,315.0,top
C11,204.8777,-106.7034,315.0,top
C15,206.3777,-105.2034,315.0,top
C16,206.0919,-98.6676,45.0,top
C17,209.025,-128.425,225.0,top
C18,107.4125,-142.975,0.0,top
C19,107.4125,-136.975,180.0,top
C2,195.8449,-124.187,314.0,top
C20,204.6672,-124.312,45.0,top
C21,220.775,-62.925,180.0,top
C22,207.5919,-100.1676,45.0,top
C3,202.0494,-100.6251,135.0,top
C4,200.4712,-102.2969,135.0,top
C5,211.8777,-118.4534,45.0,top
C6,210.2059,-116.8915,45.0,top
C7,188.0949,-109.687,225.0,top
C8,189.5449,-111.187,225.0,top
D1,137.025,-147.675,180.0,top
D2,127.525,-147.675,180.0,top
D22,112.025,-139.925,270.0,top
D23,242.025,-58.8625,270.0,top
D24,120.1769,-77.2842,0.0,top
D25,105.5076,-77.2842,0.0,top
D26,115.2738,-77.2842,0.0,top
D27,110.4107,-77.2842,0.0,top
D28,100.6044,-77.2842,0.0,top
D29,147.2076,-77.2842,0.0,top
D3,246.525,-105.1125,90.0,top
D30,166.7801,-77.2842,0.0,top
D31,152.1107,-77.2842,0.0,top
D32,161.8769,-77.2842,0.0,top
D33,157.0138,-77.2842,0.0,top
D34,167.0068,-209.1953,180.0,top
D35,147.4343,-209.1953,180.0,top
D36,162.1037,-209.1953,180.0,top
D37,152.3374,-209.1953,180.0,top
D38,157.2006,-209.1953,180.0,top
D39,213.5412,-209.1953,180.0,top
D4,228.775,-104.175,0.0,top
D40,193.9287,-209.1953,180.0,top
D41,208.6381,-209.1953,180.0,top
D42,198.8318,-209.1953,180.0,top
D43,203.7349,-209.1953,180.0,top
D44,120.3243,-209.1953,180.0,top
D45,100.7518,-209.1953,180.0,top
D46,115.4212,-209.1953,180.0,top
D47,105.6549,-209.1953,180.0,top
D48,110.5181,-209.1953,180.0,top
D49,235.775,-58.925,270.0,top
D5,228.775,-114.175,0.0,top
DAC1,261.325,-61.605,270.0,top
FB1,209.6277,-96.8207,45.0,top
IC1,199.275,-114.425,135.0,top
J1,238.525,-46.47,180.0,top
J2,99.0875,-141.513,180.0,top
R1,199.7775,-184.1352,90.0,top
R10,160.2775,-184.1352,90.0,top
R11,167.0275,-184.1352,90.0,top
R12,173.7775,-184.1352,90.0,top
R13,140.0275,-184.1352,90.0,top
R14,146.7775,-184.1352,90.0,top
R17,93.2875,-184.1352,90.0,top
R18,100.0375,-184.1352,90.0,top
R19,106.7875,-184.1352,90.0,top
R2,206.5275,-184.1352,90.0,top
R20,113.5375,-184.1352,90.0,top
R21,120.2875,-184.1352,90.0,top
R22,127.0375,-184.1352,90.0,top
R25,146.54,-91.044,270.0,top
R26,139.79,-91.044,270.0,top
R27,160.04,-91.044,270.0,top
R28,153.29,-91.044,270.0,top
R29,173.54,-91.044,270.0,top
R3,213.2775,-184.1352,90.0,top
R30,166.79,-91.044,270.0,top
R31,100.0375,-91.044,270.0,top
R32,93.2875,-91.044,270.0,top
R33,113.5375,-91.044,270.0,top
R34,106.7875,-91.044,270.0,top
R35,127.0375,-91.044,270.0,top
R36,120.2875,-91.044,270.0,top
R4,220.0275,-184.1352,90.0,top
R5,186.2775,-184.1352,90.0,top
R53,208.8425,-157.997,270.0,top
R54,206.8425,-157.997,90.0,top
R55,164.2925,-157.997,270.0,top
R56,162.3425,-157.997,90.0,top
R57,115.0925,-157.997,270.0,top
R58,113.1425,-157.997,90.0,top
R59,156.3425,-118.1595,90.0,top
R6,193.0275,-184.1352,90.0,top
R60,154.3425,-118.1595,270.0,top
R61,109.7225,-118.1595,90.0,top
R62,107.7225,-118.1595,270.0,top
R63,120.1569,-74.0342,180.0,top
R64,115.2538,-74.0342,180.0,top
R65,110.3907,-74.0342,180.0,top
R66,105.4876,-74.0342,180.0,top
R67,100.5844,-74.0342,180.0,top
R68,147.1876,-74.0342,180.0,top
R69,166.7601,-74.0342,180.0,top
R70,152.0907,-74.0342,180.0,top
R71,161.8569,-74.0342,180.0,top
R72,156.9938,-74.0342,180.0,top
R73,167.0268,-212.4453,0.0,top
R74,147.4143,-212.4453,0.0,top
R75,162.1237,-212.4453,0.0,top
R76,152.3174,-212.4453,0.0,top
R77,157.2206,-212.4453,0.0,top
R78,213.6037,-212.4453,0.0,top
R79,194.0162,-212.4453,0.0,top
R80,208.7068,-212.4453,0.0,top
R81,198.9131,-212.4453,0.0,top
R82,203.8099,-212.4453,0.0,top
R83,120.3443,-212.4453,0.0,top
R84,100.7718,-212.4453,0.0,top
R85,115.4412,-212.4453,0.0,top
R86,105.6749,-212.4453,0.0,top
R87,110.5381,-212.4453,0.0,top
R88,114.1375,-139.925,90.0,top
R89,242.025,-55.2,270.0,top
R9,153.5275,-184.1352,90.0,top
R90,235.775,-55.2625,270.0,top
SW10,221.024999,-57.175,270.0,top
SW11,110.2987,-222.9453,0.0,top
SW6,110.2763,-62.4942,180.0,top
SW7,156.8963,-62.4942,180.0,top
SW8,157.1687,-222.9453,0.0,top
SW9,203.9187,-222.9453,0.0,top
U1,198.155,-54.675,0.0,top
U10,203.9075,-166.2195,270.0,top
U11,157.1575,-166.2195,270.0,top
U12,110.2875,-166.2195,270.0,top
U13,156.9075,-108.4695,270.0,top
U14,110.2875,-108.4695,270.0,top
U15,131.025,-140.313,90.0,top
U2,237.4025,-171.8754,180.0,top
U3,107.4125,-139.925,180.0,top
U4,203.9075,-200.0127,270.0,top
U6,157.1575,-200.0127,270.0,top
U7,110.2875,-200.0127,270.0,top
U8,133.6263,-115.175,0.0,top
U9,237.4025,-109.1756,180.0,top
Y1,206.6487,-126.437,135.0,top
