Designator,Mid X,Mid Y,Rotation,Layer
ADC1,114.8,-67.95,90.0,top
ADC2,114.8,-85.9333,90.0,top
ADC3,177.25,-103.8833,270.0,top
ADC4,177.25,-85.8833,270.0,top
ADC5,177.25,-67.9,270.0,top
C1,148.5,-75.425,180.0,top
C11,154.025,-95.175,180.0,top
C15,154.025,-92.925,180.0,top
C17,137.025,-80.175,90.0,top
C18,150.775,-108.675,90.0,top
C19,144.525,-108.6375,270.0,top
C2,148.5,-73.175,180.0,top
C20,143.025,-80.175,270.0,top
C21,133.525,-97.425,0.0,top
C3,158.025,-94.175,0.0,top
C4,158.025,-91.925,0.0,top
C5,144.275,-89.125,270.0,top
C6,141.95,-89.15,270.0,top
C7,161.275,-78.375,90.0,top
C8,163.525,-78.375,90.0,top
IC1,153.275,-83.925,0.0,top
J1,147.525,-115.625,0.0,top
SW10,134.025,-102.425,180.0,top
U1,147.275,-47.619,0.0,top
U3,147.525,-108.675,270.0,top
Y1,140.025,-80.175,0.0,top
